n0;str;mp;location;format;messages;freq;gnss;n1;country;lat;lon;n2;n3;ntrips;n4;n5;n6;n7;n8
;STR;KEME;HUN;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;HUN;48.049;21.767;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;KERL;LaRoche-Jaudy;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.731;-3.272;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;KIRR;Hunspach;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.954;7.942;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.21.32;none;N;N;15200;CentipedeRTK
;STR;KOLE;HUN;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;HUN;48.228;22.076;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;KOT71;POL;RTCM3;1005,1008,1074,1084,1094,1124,1230;2;GLO+GAL+BDS+GPS;NONE;POL;51.155;15.513;0;0;NTRIP;none;N;N;15200;CentipedeRTK
;STR;KSDE;HUN;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;HUN;46.915;20.769;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;KUNM;HUN;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;HUN;46.824;20.284;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
;STR;LAB1;Troissereux;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.466;2.073;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;LAF32;Sainte-Mere;RTCM3;1005,1008,1075,1085,1095,1125,1230;2;GLO+GAL+BDS+GPS;NONE;FRA;44.000;0.668;0;0;NTRIP;none;N;N;15200;CentipedeRTK
;STR;LALI;HUN;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;HUN;47.129;18.945;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
;STR;LAON;Monceau-le-Waast;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.619;3.712;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
;STR;LAVKO;Jeu-les-Bois;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.690;1.774;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;LCBC;Loudeac;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.178;-2.759;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
;STR;LEC76;Hattenville;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.655;0.535;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.01.30;none;N;N;15200;CentipedeRTK
;STR;LELEU;Gelucourt;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.760;6.727;0;0;NTRIPRTKBaseUblox_ZED-F9P1.12;none;N;N;15200;CentipedeRTK
;STR;LEMI;SRB;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;SRB;45.569;20.737;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.01.13;none;N;N;15200;CentipedeRTK
;STR;LESTR;Lestrem;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;50.608;2.683;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
;STR;LFRG;Herre;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;44.037;-0.075;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;LH41;Chemery;RTCM3;1005,1008,1033,1075,1085,1095,1125,1230;2;GLO+GAL+BDS+GPS;NONE;FRA;47.342;1.495;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;LIENSS;LaRochelle;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.143;-1.158;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
;STR;LLS1;Lons-le-Saunier;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.672;5.559;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.21.32;none;N;N;15200;CentipedeRTK
;STR;LMSN;Beausite;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.970;5.190;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
;STR;LOLO;Thodure;RTCM3;1005,1008,1075,1085,1095,1125,1230;2;GLO+GAL+BDS+GPS;NONE;FRA;45.318;5.170;0;0;NTRIP;none;N;N;15200;CentipedeRTK
;STR;LOUL;Meuvaines;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.328;-0.563;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;LRSEC;Vivaise;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1074,1084,1094,1104,1124,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.624;3.556;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.21.30;none;N;N;15200;CentipedeRTK
;STR;LUCOR;Luc-sur-Orbieu;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;43.176;2.782;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.3;none;N;N;15200;CentipedeRTK
;STR;LXLY;CHZ;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;CHZ;46.519;6.689;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
;STR;MACO;Charnay-les-Macon;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.289;4.783;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
;STR;MAGC;Mazaye;RTCM3;1006,1033,1077,1087,1097,1127,1230;2;GLO+GAL+BDS+GPS;NONE;FRA;45.791;2.885;0;0;NTRIPTRIMBLEBD9705.63,01/NOV/2;none;N;N;15200;CentipedeRTK
;STR;MAHA;MDG;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;MDG;-15.711;46.338;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;MANT;Saint-Pompain;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.437;-0.598;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;MARK;HUN;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;HUN;47.899;22.677;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;MASL;Courville-sur-Eure;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.450;1.262;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;MATT;Challain-la-Potherie;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.635;-1.149;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;MEC1;Toul;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.701;5.927;0;0;NTRIPRTKBaseU-Blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;MEIX;LeMeix-Tiercelin;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.639;4.421;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.01.13;none;N;N;15200;CentipedeRTK
;STR;MENH;Cleder;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.647;-4.090;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
;STR;MET;Argentan;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.726;-0.016;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
;STR;MICH;Saint-Michel-lObservatoire;RTCM3;1006,1008,1019,1020,1033,1077,1087,1230;2;GLO+GPS;NONE;FRA;43.924;5.717;0;0;NTRIPTRIMBLENETR95.37,21/SEP/2;none;N;N;15200;CentipedeRTK
;STR;MIL70;Champlitte;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.678;5.566;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.21.13;none;N;N;15200;CentipedeRTK
;STR;MLLC;ENG;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;ENG;57.711;-4.258;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.21.13;none;N;N;15200;CentipedeRTK
;STR;MONCO;Montlucon;RTCM3;1004,1006,1008,1012,1019,1020,1033,1077,1087,1230;2;GLO+GPS;NONE;FRA;46.344;2.606;0;0;NTRIPProFlex800S850Kn27;none;N;N;15200;CentipedeRTK
;STR;MONTS;Poilhes;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;43.300;3.099;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
;STR;MORA;Val-des-Marais;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.814;3.995;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;MOTE1;Merignac;RTCM3;1004,1005,1006,1012,1019,1020,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;44.842;-0.721;0;0;NTRIP;none;N;N;15200;CentipedeRTK
;STR;MRTN;HUN;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;HUN;46.023;26.089;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
;STR;MSE1;Louargat;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.555;-3.365;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;MTP2;Montpellier;RTCM3;1006,1008,1019,1020,1033,1077,1087,1230;2;GLO+GPS;NONE;FRA;43.639;3.864;0;0;NTRIPTRIMBLENETR95.37,21/SEP/2;none;N;N;15200;CentipedeRTK
;STR;MTZ51;Savigny-sur-Ardres;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.261;3.797;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;NA01;Escalquens;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;43.520;1.536;0;0;NTRIPSEPTSSRC53.6.3;none;N;N;15200;CentipedeRTK
;STR;NATI;Breuilpont;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.961;1.433;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
;STR;NCY;Epagny-Metz-Tessy;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;45.946;6.104;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
;STR;NICE;Nice;RTCM3;1006,1008,1019,1020,1033,1042,1045,1046,1077,1087,1097,1127,1230;2;GLO+GAL+BDS+GPS;NONE;FRA;43.725;7.300;0;0;NTRIPTRIMBLENETR95.56,30/SEP/2;none;N;N;15200;CentipedeRTK
;STR;NLDA;NLD;RTCM3;1004,1005,1008,1012,1033,1074,1077,1084,1087,1094,1114,1124,1230;2;GLO+GAL+QZS+BDS+GPS;NONE;NLD;51.965;6.596;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.21.32;none;N;N;15200;CentipedeRTK
;STR;NODE;NOR;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;NOR;59.366;11.413;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.21.32;none;N;N;15200;CentipedeRTK
;STR;NORT;Nort-sur-Erdre;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.412;-1.517;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;NOVP;Novion-Porcien;RTCM3;1004,1005,1006,1074,1077,1084,1087,1094,1097,1124,1230;2;GLO+GAL+BDS+GPS;NONE;FRA;49.601;4.427;0;0;NTRIP;none;N;N;15200;CentipedeRTK
;STR;OFFNE;Stutzheim-Offenheim;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.631;7.617;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;OLIMI;Montreuil-sur-Blaise;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.478;4.963;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
;STR;OP45;Orleans;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.910;1.908;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;OSZA;SER;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;SER;45.939;19.913;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
;STR;PA17;LaVergne;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;45.959;-0.562;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.21.32;none;N;N;15200;CentipedeRTK
;STR;PAFE;Foix;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;42.959;1.611;0;0;NTRIPRTKBaseunknown2.4.1;none;N;N;15200;CentipedeRTK
;STR;PALI;Arles;RTCM3;1006,1008,1019,1020,1033,1077,1087,1097,1230;2;GLO+GAL+GPS;NONE;FRA;43.376;4.810;0;0;NTRIPTRIMBLENETR95.37,21/SEP/2;none;N;N;15200;CentipedeRTK
;STR;PARD;Pardailhan;RTCM3;1006,1008,1019,1020,1033,1077,1087,1097,1230;2;GLO+GAL+GPS;NONE;FRA;43.431;2.823;0;0;NTRIPTRIMBLENETR95.37,21/SEP/2;none;N;N;15200;CentipedeRTK
;STR;PARIG;Agonges;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.641;3.159;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
;STR;PAS64;Bellocq;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;43.517;-0.930;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
;STR;PAYS;Pissy-Poville;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.526;1.020;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
;STR;PHAC;Clermont-Ferrand;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;45.775;3.146;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;PIERRO;Cestas;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;44.737;-0.774;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
;STR;PJ51;Thillois;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.257;3.953;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
;STR;PLQ1;Chouilly;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.019;3.982;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
;STR;PNPAI;CHZ;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;CHZ;46.695;6.669;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
;STR;POL25;Naisey-les-Granges;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.213;6.241;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
