str;mp;location;format;messages;freq;gnss;n1;country;lat;lon;n2;n3;ntrips;n4;n5;n6;n7;n8
STR;LAB1;Troissereux;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.466;2.073;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;LALI;HUN;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;HUN;47.129;18.945;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
STR;LAVKO;Jeu-les-Bois;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.690;1.774;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;LCBC;Loudeac;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.178;-2.759;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;LELEU;Gelucourt;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.760;6.727;0;0;NTRIPRTKBaseUblox_ZED-F9P1.12;none;N;N;15200;CentipedeRTK
STR;LEMI;SRB;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;SRB;45.569;20.737;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.01.13;none;N;N;15200;CentipedeRTK
STR;LESTR;Lestrem;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;50.608;2.683;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
STR;LFRG;Herre;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;44.037;-0.075;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;LH41;Chemery;RTCM3;1005,1008,1033,1075,1085,1095,1125,1230;2;GLO+GAL+BDS+GPS;NONE;FRA;47.342;1.495;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;LIENSS;LaRochelle;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.143;-1.158;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;LLS1;Lons-le-Saunier;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.672;5.559;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.21.32;none;N;N;15200;CentipedeRTK
STR;LOLO;Thodure;RTCM3;1005,1008,1075,1085,1095,1125,1230;2;GLO+GAL+BDS+GPS;NONE;FRA;45.318;5.170;0;0;NTRIP;none;N;N;15200;CentipedeRTK
STR;LOUL;Meuvaines;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.328;-0.563;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;MANT;Saint-Pompain;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.437;-0.598;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;MARK;HUN;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;HUN;47.899;22.677;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;MASL;Courville-sur-Eure;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.450;1.262;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;MEC1;Toul;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.701;5.927;0;0;NTRIPRTKBaseU-Blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;MEIX;LeMeix-Tiercelin;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.639;4.421;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.01.13;none;N;N;15200;CentipedeRTK
STR;MET;Argentan;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.726;-0.016;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
STR;MONTS;Poilhes;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;43.300;3.099;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;MORA;Val-des-Marais;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.814;3.995;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;MSE1;Louargat;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.555;-3.365;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;MTZ51;Savigny-sur-Ardres;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.261;3.797;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;NA01;Escalquens;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;43.520;1.536;0;0;NTRIPSEPTSSRC53.6.3;none;N;N;15200;CentipedeRTK
STR;NODE;NOR;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;NOR;59.366;11.413;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.21.32;none;N;N;15200;CentipedeRTK
STR;OP45;Orleans;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.910;1.908;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;PA17;LaVergne;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;45.959;-0.562;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.21.32;none;N;N;15200;CentipedeRTK
STR;PARIG;Agonges;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.641;3.159;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;PAYS;Pissy-Poville;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.526;1.020;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;PHAC;Clermont-Ferrand;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;45.775;3.146;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;PIERRO;Cestas;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;44.737;-0.774;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
STR;PJ51;Thillois;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.257;3.953;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;PRISM;Saint-Rieul;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.443;-2.415;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;RAB01;Rabastens;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;43.824;1.722;0;0;NTRIPRTKBaseUblox_C099-F9P2.3.1;none;N;N;15200;CentipedeRTK
STR;RAFTK;Ladon;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.010;2.546;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.0;none;N;N;15200;CentipedeRTK
STR;RAV35;Pipriac;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.783;-1.975;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
STR;RICE;Creteil;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.782;2.430;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;RITZ;Jebsheim;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.128;7.477;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.21.32;none;N;N;15200;CentipedeRTK
STR;ROMGR45;Nevoy;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.708;2.590;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
STR;ROSD;Beaufort;RTCM3;1006,1008,1019,1020,1033,1077,1087,1097,1230;2;GLO+GAL+GPS;NONE;FRA;45.691;6.628;0;0;NTRIPTRIMBLENETR95.45,06/MAR/2;none;N;N;15200;CentipedeRTK
STR;RSW27;Burey;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.990;0.935;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;RTK23;Roches;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.299;1.995;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;SAM1;Meauzac;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;44.102;1.243;0;0;NTRIPRTKBaseUblox_ZED-F9P2.2.0;none;N;N;15200;CentipedeRTK
STR;SBEC;Chef-Boutonne;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.080;-0.132;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;SEDB;Saint-Etienne-du-Bois;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.274;5.249;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;SEMO;Yzeures-sur-Creuse;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;46.779;0.846;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;SIGEO;Aix-en-Provence;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;43.493;5.334;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.21.13;none;N;N;15200;CentipedeRTK
STR;SKY1;Blain;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.432;-1.721;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.21.32;none;N;N;15200;CentipedeRTK
STR;SLP;Saint-Laurent-de-la-Pree;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;45.992;-1.028;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
STR;SMOD;HUN;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;HUN;46.862;16.803;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
STR;SPB28;LeGault-Saint-Denis;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.258;1.453;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.11.12;none;N;N;15200;CentipedeRTK
STR;THUM;Thumereville;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.201;5.799;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;TOMB1;FRA;RTCM3;;2;;;FRA;0.00;0.00;0;0;;;N;N;15200;CentipedeRTK
STR;TOULN;LaValette-du-Var;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;43.128;5.987;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;UCBL;Villeurbanne;RTCM3;1006,1008,1019,1020,1033,1077,1087,1097,1230;2;GLO+GAL+GPS;NONE;FRA;45.781;4.870;0;0;NTRIPTrimbleAlloy5.45,06/MAR/2;none;N;N;15200;CentipedeRTK
STR;VAGC;Port-sur-Saone;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.689;6.067;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.01.32;none;N;N;15200;CentipedeRTK
STR;VANDE;Millam;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;50.853;2.249;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;VDM51;Vaudemange;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.090;4.225;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.1;none;N;N;15200;CentipedeRTK
STR;VILBO;Villers-Bocage;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;50.003;2.314;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.21.13;none;N;N;15200;CentipedeRTK
STR;ZEUO;Saint-Thonan;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.461;-4.307;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK


